parser_identifier,source_url,reason
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recB4T5hcGz44lY0s/fldovodKVj4MXgDmO/attpvaWp0440ydSPB,techne-airtable-wrapper
find_out_now,https://findoutnow.co.uk/blog/voting-intention-12th-feb-2025/,find_out_now-missing-xlsx-url
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/rec6b6crM8vbGu4U2/fldovodKVj4MXgDmO/att16qkygBvmXNIPB,techne-airtable-wrapper
techne,https://airtable.com/app2B86l5bTIO1uMA/shrwnOxInc2P2ikJ7/tbl67t4FpUCgEc3is/viwMvQWotUvypoqxJ/recBk5Vpaao0xaDfT/fldovodKVj4MXgDmO/attcECe0JKYtDYJeL,techne-airtable-wrapper
opinium,https://www.opinium.com/resource-center/opinium-voting-intention-23rd-july-2025/,opinium-missing-xlsx-url
opinium,https://www.opinium.com/resource-center/opinium-voting-intention-6th-august-2025/,opinium-missing-xlsx-url
bmg_research,https://bmgresearch.com/news/with-a-record-35-vote-share-reform-are-upending-british-politics/,bmg_research-missing-xlsx-url
find_out_now,https://findoutnow.co.uk/blog/voting-intention-1st-october-2025/,find_out_now-missing-xlsx-url
more_in_common,https://www.moreincommon.org.uk/latest-insights/more-in-common-s-january-mrp/,more_in_common-missing-xlsx-url
yougov,https://yougov.co.uk/politics/articles/53923-how-would-britain-vote-at-the-start-of-2026,yougov-missing-pdf-url
find_out_now,https://files.38degrees.org.uk/items/files/000/008/967/original/38_Degrees_National_Briefing_September_2025.pdf,find_out_now-missing-xlsx-url
