id,moves,winner
2wZqDCuf,"['b3', 'b6', 'Bb2', 'Bb7', 'e3', 'd5', 'Nf3', 'e6', 'd4', 'Nf6', 'Bd3', 'Be7', 'O-O', 'Nbd7', 'c4', 'c5', 'Nc3', 'cxd4', 'exd4', 'dxc4', 'bxc4', 'Bd5', 'Qc2', 'Bxf3', 'gxf3', 'g6', 'Kh1', 'Nh5', 'Rg1', 'Bf6', 'Bf1', 'Nf8', 'Rd1', 'Qd6', 'd5', 'e5', 'Ne4', 'Qe7', 'd6', 'Qe6', 'c5', 'bxc5', 'Bc4', 'Qh3', 'Nxf6+']",white
BawnolON,"['d4', 'd5', 'c4', 'c6', 'Nc3', 'e5', 'dxe5', 'd4', 'Ne4', 'Qa5+', 'Bd2', 'Qxe5', 'Ng3', 'Nf6', 'Nf3', 'Qd6', 'Qc2', 'Be7', 'O-O-O', 'O-O', 'Bc3', 'c5', 'e3', 'Bg4', 'exd4', 'Bxf3', 'gxf3', 'Qf4+', 'Kb1', 'Qxf3', 'Rg1', 'g6', 'Nf5', 'Bd8', 'dxc5', 'Qe4', 'Qxe4', 'Nxe4', 'Nh6#']",white
QtdSz0a8,"['e4', 'd6', 'Nf3', 'c6', 'Nc3', 'b5', 'd4', 'b4', 'Na4', 'a5', 'b3', 'Ba6', 'Bxa6', 'Nxa6', 'Bb2', 'c5', 'O-O', 'cxd4', 'Nxd4', 'Nc7', 'Nc6', 'Qd7', 'Nd4', 'Nb5', 'Qd3', 'Nxd4', 'Qxd4', 'Nf6', 'Nb6', 'Qa7', 'Nxa8', 'Qxd4', 'Bxd4', 'e5', 'Bb6', 'Be7', 'Nc7+', 'Kd7', 'Nd5', 'Nxd5', 'exd5', 'Ra8', 'c3', 'f5', 'cxb4', 'axb4', 'Rfc1', 'e4', 'Rc7+', 'Ke8', 'Re1', 'Bf6', 'f3', 'Ra6', 'Bf2', 'Kd8', 'Rc6', 'Rxa2', 'fxe4', 'fxe4', 'Rxe4', 'h5', 'h3', 'Ra1+', 'Kh2', 'Be5+', 'g3', 'Ra2', 'Kg2', 'g5', 'Kf1', 'Ra1+', 'Ke2', 'Ra2+', 'Kf3', 'Rb2', 'Bb6+', 'Kd7', 'Rc7+', 'Ke8', 'Re3', 'Rb1', 'Rh7', 'Rf1+', 'Kg2', 'Rf8', 'Rf3']",white
SdAmRf0F,"['e4', 'c5', 'd4', 'cxd4', 'Nf3', 'Nc6', 'Nxd4', 'Nf6', 'c3', 'e6', 'Bd3', 'd5', 'exd5', 'exd5', 'Be3', 'Be7', 'O-O', 'O-O', 'Nd2', 'a6', 'N2f3', 'Qc7', 'Qd2', 'Bg4', 'h3', 'Bxf3', 'Nxf3', 'Rac8', 'Rfe1', 'Rfd8', 'Bg5', 'Ne4', 'Bxe4', 'dxe4', 'Qf4', 'exf3', 'Bxe7', 'Qxf4', 'Bb4', 'Qg5', 'g4', 'Qh4', 'Re3', 'Qxh3', 'Rxf3', 'Qxf3', 'Re1', 'Nxb4', 'cxb4', 'Rd2', 'Re3', 'Qxf2+', 'Kh1', 'Qg2#']",black
PT9yVOFi,"['d3', 'e6', 'e3', 'd5', 'Nf3', 'c5', 'Be2', 'Nc6', 'O-O', 'Nf6', 'h3', 'Be7', 'Nh2', 'O-O', 'Ng4', 'h6', 'Nxf6+', 'Bxf6', 'Nd2', 'b6', 'Rb1', 'Bb7', 'b3', 'Rb8', 'Bb2', 'Bxb2', 'Rxb2', 'Nb4', 'Rb1', 'Nxa2', 'Rb2', 'Nb4', 'c3', 'Nc6', 'b4', 'cxb4', 'cxb4', 'Qf6', 'b5', 'Qxb2', 'bxc6', 'Bxc6', 'Nf3', 'Rfc8', 'Nh2', 'Bd7', 'Qb1', 'Rc2', 'Qxb2', 'Rxb2', 'Bf3', 'Rc8', 'e4', 'dxe4', 'dxe4', 'Bc6', 'e5', 'Bxf3', 'Nxf3', 'Rcc2', 'Nd4', 'Rd2', 'Nc6', 'a5', 'Ne7+', 'Kh7', 'Nc6', 'a4']",black
vDMo0No3,"['d4', 'd5', 'Nf3', 'c6', 'Bf4', 'Bf5', 'c3', 'Nf6', 'e3', 'e6', 'Bd3', 'Bxd3', 'Qxd3', 'Bd6', 'Bxd6', 'Qxd6', 'O-O', 'O-O', 'Nbd2', 'Nbd7', 'Qc2', 'e5', 'a3', 'exd4', 'cxd4', 'Rac8', 'b4', 'a6', 'Nb3', 'Rfe8', 'Rac1', 'Ne4', 'Nc5', 'Ndxc5', 'bxc5', 'Qg6', 'h3', 'Qh5', 'Rb1', 'Re7', 'Rb6', 'Re6', 'Rfb1', 'Rg6', 'Kh2', 'Ng5', 'Nxg5', 'Qxg5', 'g3', 'Qf6', 'Rxb7', 'h5', 'Rb8', 'Rxb8', 'Rxb8+', 'Kh7', 'Rb6', 'Kh6', 'Rxa6', 'h4', 'g4', 'Qf3', 'Ra7', 'f5', 'Rf7', 'Rxg4', 'hxg4', 'Qxg4', 'Qxf5']",white
VqKG9Hr5,"['e4', 'e6', 'd4', 'g6', 'e5', 'h5', 'Nf3', 'Bh6', 'h3', 'c6', 'Bxh6', 'Nxh6', 'Bc4', 'a5', 'a3', 'b5', 'Ba2', 'a4', 'b3', 'axb3', 'cxb3', 'Qe7', 'b4', 'd5', 'exd6', 'Qxd6', 'O-O', 'Na6', 'Ne5', 'Nc7', 'Qf3', 'Bb7', 'Nc3', 'Qxd4', 'Qf6', 'O-O', 'Ne2', 'Qd8', 'Qf4', 'Rxa3', 'Qxh6', 'Nd5', 'Bxd5', 'Rxa1', 'Rxa1', 'cxd5', 'Nf4', 'd4', 'Nfxg6', 'f5', 'Qh8#']",white
8tuhMAHL,"['e4', 'e6', 'Nf3', 'd5', 'exd5', 'exd5', 'Nc3', 'Be6', 'd4', 'Nf6', 'Bg5', 'Be7', 'Bd3', 'h6', 'Bf4', 'Nh5', 'Be3', 'Bg4', 'h3', 'Bxf3', 'Qxf3', 'Nf6', 'O-O-O', 'O-O', 'g4', 'c6', 'g5', 'hxg5', 'Bxg5', 'Ne4', 'Bxe7', 'Qxe7', 'Nxe4', 'Nd7', 'Ng3', 'Nf6', 'Nf5', 'Qd7', 'Qg3', 'g6', 'h4', 'Nh5', 'Qg5', 'Rfe8']",white
Bo0NGDN8,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qd8', 'Nf3', 'Bg4', 'd3', 'e6', 'h3', 'Bh5', 'g4', 'Bg6', 'Nh4', 'Bb4', 'Nxg6', 'hxg6', 'Bd2', 'Nc6', 'Qe2', 'Qe7', 'O-O-O', 'O-O-O', 'a3', 'Nd4', 'Qe3', 'Bc5', 'Qe5', 'Bb6', 'Nb5', 'Nxb5', 'Qxb5', 'Nf6', 'Bg2', 'Nd5', 'Rde1', 'a6', 'Qb3', 'Kb8', 'c4', 'Nf6', 'Bf4', 'Ka8', 'a4', 'Qc5', 'Re5', 'Qxf2', 'Bxb7+', 'Kxb7', 'c5', 'Qxf4+', 'Kc2', 'Qxe5', 'cxb6', 'cxb6', 'Ra1', 'Rc8+', 'Kb1', 'Qe1+', 'Ka2', 'Nd5', 'Ka3', 'Qb4+', 'Ka2', 'Qxb3+', 'Kxb3', 'Rc7', 'Ra3', 'Rhc8', 'Ka2', 'Rc2', 'Rb3', 'Nb4+']",black
qx0eRtDM,"['e4', 'e6', 'Nf3', 'd5', 'exd5', 'exd5', 'd4', 'c5', 'h3', 'cxd4', 'Qxd4', 'Nc6', 'Qd1', 'Nf6', 'Bb5', 'Be7', 'O-O', 'O-O', 'Re1', 'Be6', 'Bg5', 'a6', 'Ba4', 'b5', 'Bb3', 'Na5', 'c3', 'Nxb3', 'axb3', 'h6', 'Bh4', 'Nh7', 'Bxe7', 'Qxe7', 'Nbd2', 'Rfd8', 'Nf1', 'Qc7', 'Ng3', 'Nf6', 'Qd3', 'Ne4', 'Nxe4', 'dxe4', 'Qxe4', 'Bd5', 'Qe3', 'Bxf3', 'Qxf3', 'Re8', 'Rad1', 'Rxe1+', 'Rxe1', 'Rf8', 'Qf5', 'Qd8', 'Re3', 'Qd1+', 'Kh2', 'Qc2', 'Qf4', 'Qxb2', 'Rg3', 'Kh8', 'Qxh6+', 'gxh6']",black
