poll_id,pollster_id,pollster_identifier,pollster_name,map_id,fieldwork_start,fieldwork_end,sample_size,region_id,region_name,party_id,party_name,percentage
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,18,Yorkshire and The Humber,7,Other,2.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,16,East Midlands,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,19,East of England,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,17,London,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,21,North East England,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,15,North West England,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,22,Scotland,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,13,South East England,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,20,South West England,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,23,Wales,3,Plaid Cymru,33.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,14,West Midlands,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,18,Yorkshire and The Humber,3,Plaid Cymru,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,16,East Midlands,2,Reform UK,30.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,19,East of England,2,Reform UK,28.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,17,London,2,Reform UK,17.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,21,North East England,2,Reform UK,32.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,15,North West England,2,Reform UK,32.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,22,Scotland,2,Reform UK,22.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,13,South East England,2,Reform UK,28.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,20,South West England,2,Reform UK,28.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,23,Wales,2,Reform UK,22.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,14,West Midlands,2,Reform UK,30.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,18,Yorkshire and The Humber,2,Reform UK,32.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,16,East Midlands,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,19,East of England,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,17,London,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,21,North East England,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,15,North West England,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,22,Scotland,8,Scottish National Party,33.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,13,South East England,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,20,South West England,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,23,Wales,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,14,West Midlands,8,Scottish National Party,0.0
1,1,yougov,YouGov,2,2026-02-08,2026-02-09,2466,18,Yorkshire and The Humber,8,Scottish National Party,0.0
