code,seats,change,votepercent,votepercentchange
conservative,20,-2,30.41,-1.27
labour,54,7,42.35,3.01
libdems,1,-5,6.14,-15.44
ukip,0,0,15.44,12.44
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,4.83,3.98
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,0.82,-2.73
total,75,,100.00,
