code,seats,change,votepercent,votepercentchange
conservative,2,1,15.17,-1.39
labour,12,-28,28.7,-12.84
libdems,1,-10,8.17,-10.5
ukip,0,0,3.37,2.69
snp,44,38,41.58,21.87
plaidcymru,0,0,0.0,0.0
green,0,0,2.31,1.28
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,-1,0.7,-1.1
total,59,,100.00,
