code,seats,change,votepercent,votepercentchange
conservative,7,-1,22.1,-3.98
labour,29,3,41.95,5.72
libdems,1,-2,5.75,-14.36
ukip,0,0,13.45,10.96
snp,0,0,0.0,0.0
plaidcymru,3,0,10.98,-0.29
green,0,0,4.53,4.16
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.23,-2.22
total,40,,100.00,
