code,seats,change,votepercent,votepercentchange
conservative,37,1,38.62,-4.17
labour,14,10,22.71,7.33
libdems,4,-11,18.49,-16.2
ukip,0,0,14.43,10.54
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,5.23,3.47
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,0.52,-0.98
total,55,,100.00,
