code,seats,change,votepercent,votepercentchange
conservative,40,-11,40.08,-6.88
labour,13,11,25.7,6.12
libdems,2,-2,6.46,-17.58
ukip,3,2,19.39,14.38
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,7.51,6.1
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,0.86,-2.14
total,58,,100.00,
