code,seats,change,votepercent,votepercentchange
conservative,29,-4,35.68,-4.11
labour,30,6,33.72,2.92
libdems,0,-2,7.88,-12.71
ukip,0,0,15.47,12.06
snp,0,0,0.0,0.0
plaidcymru,0,0,0.0,0.0
green,0,0,5.26,4.73
uu,0,0,0.0,0.0
sdlp,0,0,0.0,0.0
dup,0,0,0.0,0.0
sinnfein,0,0,0.0,0.0
alliance,0,0,0.0,0.0
other,0,0,1.99,-2.9
total,59,,100.00,
