election_id,election_name,as_of_date,party_id,party_name,party_colour,seats_won,vote_total_sum,vote_pct
1774,UNS 2024-07-14,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1774,UNS 2024-07-14,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1774,UNS 2024-07-14,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1774,UNS 2024-07-14,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1774,UNS 2024-07-14,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1774,UNS 2024-07-14,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1774,UNS 2024-07-14,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1774,UNS 2024-07-14,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1774,UNS 2024-07-14,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1774,UNS 2024-07-14,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1775,UNS 2024-07-15,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1775,UNS 2024-07-15,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1775,UNS 2024-07-15,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1775,UNS 2024-07-15,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1775,UNS 2024-07-15,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1775,UNS 2024-07-15,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1775,UNS 2024-07-15,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1775,UNS 2024-07-15,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1775,UNS 2024-07-15,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1775,UNS 2024-07-15,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1775,UNS 2024-07-15,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1775,UNS 2024-07-15,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1775,UNS 2024-07-15,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1776,UNS 2024-07-16,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1776,UNS 2024-07-16,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1776,UNS 2024-07-16,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1776,UNS 2024-07-16,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1776,UNS 2024-07-16,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1776,UNS 2024-07-16,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1776,UNS 2024-07-16,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1776,UNS 2024-07-16,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1776,UNS 2024-07-16,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1776,UNS 2024-07-16,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1776,UNS 2024-07-16,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1776,UNS 2024-07-16,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1776,UNS 2024-07-16,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1777,UNS 2024-07-17,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1777,UNS 2024-07-17,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1777,UNS 2024-07-17,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1777,UNS 2024-07-17,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1777,UNS 2024-07-17,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1777,UNS 2024-07-17,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1777,UNS 2024-07-17,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1777,UNS 2024-07-17,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1777,UNS 2024-07-17,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1777,UNS 2024-07-17,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1777,UNS 2024-07-17,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1777,UNS 2024-07-17,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1777,UNS 2024-07-17,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1778,UNS 2024-07-18,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1778,UNS 2024-07-18,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1778,UNS 2024-07-18,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1778,UNS 2024-07-18,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1778,UNS 2024-07-18,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1778,UNS 2024-07-18,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1778,UNS 2024-07-18,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1778,UNS 2024-07-18,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1778,UNS 2024-07-18,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1778,UNS 2024-07-18,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1778,UNS 2024-07-18,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1778,UNS 2024-07-18,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1778,UNS 2024-07-18,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1779,UNS 2024-07-19,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1779,UNS 2024-07-19,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1779,UNS 2024-07-19,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1779,UNS 2024-07-19,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1779,UNS 2024-07-19,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1779,UNS 2024-07-19,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1779,UNS 2024-07-19,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1779,UNS 2024-07-19,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1779,UNS 2024-07-19,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1779,UNS 2024-07-19,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1779,UNS 2024-07-19,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1779,UNS 2024-07-19,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1779,UNS 2024-07-19,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1780,UNS 2024-07-20,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1780,UNS 2024-07-20,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1780,UNS 2024-07-20,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1780,UNS 2024-07-20,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1780,UNS 2024-07-20,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1780,UNS 2024-07-20,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1780,UNS 2024-07-20,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1780,UNS 2024-07-20,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1780,UNS 2024-07-20,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1780,UNS 2024-07-20,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1780,UNS 2024-07-20,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1780,UNS 2024-07-20,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1780,UNS 2024-07-20,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1781,UNS 2024-07-21,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1781,UNS 2024-07-21,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1781,UNS 2024-07-21,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1781,UNS 2024-07-21,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1781,UNS 2024-07-21,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1781,UNS 2024-07-21,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1781,UNS 2024-07-21,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1781,UNS 2024-07-21,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1781,UNS 2024-07-21,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1781,UNS 2024-07-21,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1781,UNS 2024-07-21,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1781,UNS 2024-07-21,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1781,UNS 2024-07-21,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1782,UNS 2024-07-22,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1782,UNS 2024-07-22,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1782,UNS 2024-07-22,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1782,UNS 2024-07-22,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1782,UNS 2024-07-22,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1782,UNS 2024-07-22,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1782,UNS 2024-07-22,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1782,UNS 2024-07-22,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1782,UNS 2024-07-22,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1782,UNS 2024-07-22,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1782,UNS 2024-07-22,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1782,UNS 2024-07-22,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1782,UNS 2024-07-22,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1783,UNS 2024-07-23,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1783,UNS 2024-07-23,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1783,UNS 2024-07-23,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1783,UNS 2024-07-23,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1783,UNS 2024-07-23,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1783,UNS 2024-07-23,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1783,UNS 2024-07-23,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1783,UNS 2024-07-23,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1783,UNS 2024-07-23,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1783,UNS 2024-07-23,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1783,UNS 2024-07-23,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1783,UNS 2024-07-23,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1783,UNS 2024-07-23,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1784,UNS 2024-07-24,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1784,UNS 2024-07-24,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1784,UNS 2024-07-24,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1784,UNS 2024-07-24,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1784,UNS 2024-07-24,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1784,UNS 2024-07-24,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1784,UNS 2024-07-24,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1784,UNS 2024-07-24,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
1784,UNS 2024-07-24,2024-01-01,2,Reform UK,#12B6CF,5,9387.486062,14.442286
1784,UNS 2024-07-24,2024-01-01,12,SDLP,#2AA82C,2,203.784088,0.313514
1784,UNS 2024-07-24,2024-01-01,8,Scottish National Party,#FFF95D,9,1707.937510,2.627596
1784,UNS 2024-07-24,2024-01-01,13,Sinn Féin,#326760,7,481.835847,0.741286
1784,UNS 2024-07-24,2024-01-01,11,Ulster Unionist Party,#48A5EE,1,211.907535,0.326012
1785,UNS 2024-07-25,2024-01-01,10,Alliance,#F6CB2F,1,270.216518,0.415718
1785,UNS 2024-07-25,2024-01-01,4,Conservative,#0087DC,121,14925.141947,22.961757
1785,UNS 2024-07-25,2024-01-01,9,Democratic Unionist Party,#D46A4C,5,400.041534,0.615449
1785,UNS 2024-07-25,2024-01-01,6,Green,#6AB023,4,4438.735293,6.828824
1785,UNS 2024-07-25,2024-01-01,1,Labour,#E4003B,411,22485.963271,34.593790
1785,UNS 2024-07-25,2024-01-01,5,Liberal Democrats,#FAA61A,72,7428.101715,11.427849
1785,UNS 2024-07-25,2024-01-01,7,Other,#808080,8,2581.829029,3.972045
1785,UNS 2024-07-25,2024-01-01,3,Plaid Cymru,#005B54,4,477.019650,0.733876
