party,code,seats,net,votes,votepercent
Conservative,conservative,1,0,319327,13.68
Labour,labour,16,-24,687782,29.47
Liberal Democrats,libdems,2,-9,270200,11.58
SNP,snp,40,33,1056237,45.26
total,total,59,,2333546.75,100.00
